"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"5/29/2026","5/29/2026","6/1/2026","ASTS","AST SpaceMobile
CUSIP: 00217D100","Buy","8","$111.78","($894.20)"
"5/29/2026","5/29/2026","6/1/2026","GEHC","GE HealthCare
CUSIP: 36266G107","Sell","0.656924","$62.64","$41.15"
"5/29/2026","5/29/2026","6/1/2026","GEHC","GE HealthCare
CUSIP: 36266G107","Sell","13","$62.64","$814.28"
"5/29/2026","5/29/2026","6/1/2026","NCLH","Norwegian Cruise Line
CUSIP: G66721104","Sell","67.237308","$18.36","$1,234.77"
"5/29/2026","5/29/2026","6/1/2026","DIS","Disney
CUSIP: 254687106","Sell","0.184796","$102.27","$18.90"
"5/29/2026","5/29/2026","6/1/2026","DIS","Disney
CUSIP: 254687106","Sell","25","$102.27","$2,556.69"
"5/29/2026","5/29/2026","6/1/2026","ARKK","ARK Innovation ETF
CUSIP: 00214Q104","Buy","12.224191","$81.80","($1,000.00)"
"5/29/2026","5/29/2026","6/1/2026","LCID","Lucid Group
CUSIP: 549498202","Buy","0.511094","$6.54","($3.34)"
"5/29/2026","5/29/2026","6/1/2026","LCID","Lucid Group
CUSIP: 549498202","Buy","76","$6.54","($496.66)"
"5/29/2026","5/29/2026","6/1/2026","META","Meta Platforms
CUSIP: 30303M102","Sell","17.235405","$629.62","$10,851.61"
"5/29/2026","5/29/2026","6/1/2026","SPCE","Virgin Galactic Holdings
CUSIP: 92766K403","Buy","0.967257","$6.31","($6.10)"
"5/29/2026","5/29/2026","6/1/2026","SPCE","Virgin Galactic Holdings
CUSIP: 92766K403","Buy","316","$6.31","($1,993.90)"
"5/29/2026","5/29/2026","6/1/2026","RKLB","Rocket Lab Corporation
CUSIP: 773121108","Buy","20","$138.27","($2,765.45)"
"5/29/2026","5/29/2026","6/1/2026","NASA","Tema Space Innovators ETF
CUSIP: 87975E776","Buy","15","$39.47","($592.05)"
"5/29/2026","5/29/2026","6/1/2026","BYDDY","BYD Company
CUSIP: 05606L100","Buy","43","$11.60","($499.02)"
"5/29/2026","5/29/2026","6/1/2026","ASTS","AST SpaceMobile
CUSIP: 00217D100","Buy","9.271277","$107.86","($1,000.00)"
"5/28/2026","5/28/2026","5/29/2026","NASA","Tema Space Innovators ETF
CUSIP: 87975E776","Buy","20","$42.13","($842.57)"
"5/27/2026","5/27/2026","5/28/2026","FAST","Fastenal
CUSIP: 311900104
Dividend Reinvestment","Buy","0.05098","$44.53","($2.27)"
"5/27/2026","5/27/2026","5/28/2026","MSFT","Microsoft
CUSIP: 594918104
Dividend Reinvestment","Buy","0.047344","$411.66","($19.49)"
"5/26/2026","5/26/2026","5/26/2026","MSFT","Cash Div: R/D 2026-05-21 P/D 2026-06-11 - 21.420986 shares at 0.91","CDIV","","","$19.49"
"5/26/2026","5/26/2026","5/26/2026","FAST","Cash Div: R/D 2026-04-28 P/D 2026-05-26 - 9.45425 shares at 0.24","CDIV","","","$2.27"
"5/26/2026","5/26/2026","5/27/2026","RKLB","Rocket Lab Corporation
CUSIP: 773121108","Buy","0.966213","$143.55","($138.70)"
"5/26/2026","5/26/2026","5/27/2026","RKLB","Rocket Lab Corporation
CUSIP: 773121108","Buy","6","$143.55","($861.30)"
"5/26/2026","5/26/2026","5/27/2026","ARKX","ARK Space & Defense Innovation ETF
CUSIP: 00214Q807","Buy","0.749484","$36.36","($27.25)"
"5/26/2026","5/26/2026","5/27/2026","ARKX","ARK Space & Defense Innovation ETF
CUSIP: 00214Q807","Buy","13","$36.36","($472.75)"
"5/26/2026","5/26/2026","5/27/2026","SPCE","Virgin Galactic Holdings
CUSIP: 92766K403","Buy","277.777777","$3.60","($1,000.00)"
